frame,time_sec,tracked,x,y,anchor
20,0.16666666666666666,0,,,0
21,0.175,0,,,0
22,0.18333333333333332,0,,,0
23,0.19166666666666668,0,,,0
24,0.2,1,1290.769,418.462,1
25,0.20833333333333334,1,1309.278,417.275,0
26,0.21666666666666667,1,1313.671,417.119,0
27,0.225,1,1319.062,416.229,0
28,0.23333333333333334,1,1330.038,414.894,0
29,0.24166666666666667,1,1339.620,413.853,0
30,0.25,1,1349.779,410.486,0
31,0.25833333333333336,1,1358.481,408.736,0
32,0.26666666666666666,1,1369.231,415.385,1
33,0.275,1,1376.249,406.590,0
34,0.2833333333333333,1,1386.656,407.369,0
35,0.2916666666666667,1,1397.294,408.564,0
36,0.3,1,1418.364,411.794,0
37,0.30833333333333335,1,1426.267,413.095,0
38,0.31666666666666665,1,1425.907,411.591,0
39,0.325,1,1430.358,412.073,0
40,0.3333333333333333,1,1432.308,415.385,1
41,0.3416666666666667,1,1442.700,414.071,0
42,0.35,1,1453.091,416.298,0
43,0.35833333333333334,1,1462.449,417.714,0
44,0.36666666666666664,1,1478.999,420.394,0
45,0.375,1,1483.238,420.718,0
46,0.38333333333333336,1,1479.020,417.016,0
47,0.39166666666666666,1,1480.448,416.216,0
48,0.4,1,1476.923,421.538,1
49,0.4083333333333333,1,1483.765,414.594,0
50,0.4166666666666667,1,1491.210,413.413,0
51,0.425,1,1499.158,411.945,0
52,0.43333333333333335,1,1505.790,411.022,0
53,0.44166666666666665,1,1519.798,408.847,0
54,0.45,1,1524.150,410.371,0
55,0.4583333333333333,1,1520.194,416.665,0
56,0.4666666666666667,1,1515.385,423.077,1
57,0.475,1,1523.945,422.197,0
58,0.48333333333333334,1,1523.694,424.973,0
59,0.49166666666666664,1,1526.696,426.060,0
60,0.5,1,1529.170,428.598,0
61,0.5083333333333333,1,1532.244,429.673,0
62,0.5166666666666667,1,1537.743,430.103,0
63,0.525,1,1542.211,430.656,0
64,0.5333333333333333,1,1552.308,430.769,1
65,0.5416666666666666,1,1552.662,430.906,0
66,0.55,1,1554.740,431.064,0
67,0.5583333333333333,1,1557.635,429.453,0
68,0.5666666666666667,1,1559.856,427.190,0
69,0.575,1,1562.864,426.525,0
70,0.5833333333333334,1,1568.931,423.453,0
71,0.5916666666666667,1,1572.455,425.718,0
72,0.6,1,1576.923,444.615,1
73,0.6083333333333333,1,1578.073,439.062,0
74,0.6166666666666667,1,1578.735,442.995,0
75,0.625,1,1579.950,447.571,0
76,0.6333333333333333,1,1581.171,449.876,0
77,0.6416666666666667,1,1583.205,452.015,0
78,0.65,1,1587.611,457.272,0
79,0.6583333333333333,1,1591.025,458.545,0
80,0.6666666666666666,1,1595.385,452.308,1
81,0.675,1,1599.774,456.761,0
82,0.6833333333333333,1,1601.762,455.653,0
83,0.6916666666666667,1,1603.714,457.803,0
84,0.7,1,1605.141,462.037,0
85,0.7083333333333334,1,1606.749,465.933,0
86,0.7166666666666667,1,1609.816,475.122,0
87,0.725,1,1612.103,476.846,0
88,0.7333333333333333,1,1616.923,466.154,1
89,0.7416666666666667,1,1617.192,470.904,0
90,0.75,1,1618.134,468.002,0
91,0.7583333333333333,1,1619.464,466.608,0
92,0.7666666666666667,1,1620.652,467.717,0
93,0.775,1,1622.457,469.425,0
94,0.7833333333333333,1,1625.766,472.761,0
95,0.7916666666666666,1,1629.231,476.923,1
96,0.8,1,1630.651,476.052,0
97,0.8083333333333333,1,1632.102,476.986,0
98,0.8166666666666667,1,1632.658,477.091,0
99,0.825,1,1633.482,478.079,0
100,0.8333333333333334,1,1634.183,479.404,0
101,0.8416666666666667,1,1634.894,481.353,0
102,0.85,1,1636.783,485.435,0
103,0.8583333333333333,1,1637.924,487.316,0
104,0.8666666666666667,1,1638.357,488.435,0
105,0.875,1,1638.462,490.769,1
106,0.8833333333333333,1,1641.881,488.843,0
107,0.8916666666666667,1,1643.165,490.220,0
108,0.9,1,1644.144,490.843,0
109,0.9083333333333333,1,1645.034,492.289,0
110,0.9166666666666666,1,1649.231,509.231,1
