pitch_id,pitch_type,pitcher_handedness,ball_path_file,status,num_points,first_frame,last_frame,duration_frames,tracked_fraction,anchor_count,avg_speed_px_per_frame,max_speed_px_per_frame,speed_std,path_length_px,direct_distance_px,straightness_ratio,max_perpendicular_deviation_px,mean_abs_perpendicular_deviation_px,max_signed_perpendicular_deviation_px,min_signed_perpendicular_deviation_px,quadratic_curvature_y_of_x,net_dx_px,net_dy_px,avg_vx_px_per_frame,avg_vy_px_per_frame,abs_net_dx_px,abs_net_dy_px,abs_avg_vx_px_per_frame,abs_avg_vy_px_per_frame,video_angle_id,notes
pitch001,fastball,RHP,ball_path001 fastball RHP.csv,ok,87,24,110,86,0.9560439560439561,9,7.3378791403356445,40.337427496061224,8.428990984247449,631.0576060688654,157.7320585708562,0.24994874802862826,41.085339441216775,12.486829831853932,37.03236718600251,-20.281105141114782,0.02896705200740458,-50.805000000000064,149.32600000000002,-0.5907558139534891,1.7363488372093026,50.805000000000064,149.32600000000002,0.5907558139534891,1.7363488372093026,,
pitch002,changeup,RHP,ball_path002 changeup RHP.csv,ok,87,24,110,86,0.9560439560439561,9,7.00178050693232,25.098445469789525,5.0358910230001355,602.1531235961795,205.371968761562,0.3410626976989496,80.51422340990275,49.37117492385666,80.51422340990284,0.0,-0.00659747815539979,48.462999999999965,199.572,0.5635232558139531,2.3206046511627907,48.462999999999965,199.572,0.5635232558139531,2.3206046511627907,,
pitch003,curveball,RHP,ball_path003 curveball RHP.csv,ok,107,24,130,106,0.963963963963964,9,7.993720039586256,40.76901806519251,8.008731624333771,847.3343241961431,389.22688026394064,0.459354553626983,40.405190857669844,21.754181282179356,0.6475924782715226,-40.405190857669965,0.07075722299182204,52.92399999999998,385.61199999999997,0.4992830188679243,3.6378490566037733,52.92399999999998,385.61199999999997,0.4992830188679243,3.6378490566037733,,
pitch004,fastball,RHP,ball_path004 fastball RHP.csv,ok,105,24,128,104,0.963302752293578,9,4.167783454339763,27.74352728115165,4.618145632972952,433.44947925133533,116.54161246953802,0.268870117622085,27.74352728115165,8.460038914472108,14.663928126502332,-27.17632836792827,-0.004317446254951525,-64.92599999999993,-96.78099999999995,-0.6242884615384608,-0.9305865384615379,64.92599999999993,96.78099999999995,0.6242884615384608,0.9305865384615379,,
pitch006,curveball,RHP,ball_path006 curveball RHP.csv,ok,92,24,115,91,0.9583333333333334,11,6.240079386566045,18.737618978941835,4.07476992499714,567.84722417751,135.1276386865397,0.23796477808316022,83.68158612044465,34.82915657822052,83.68158612044469,-45.60481276739618,0.017378241264750818,-126.68900000000008,-47.00400000000002,-1.392186813186814,-0.5165274725274728,126.68900000000008,47.00400000000002,1.392186813186814,0.5165274725274728,,
pitch007,fastball,RHP,ball_path007 fastball RHP.csv,ok,87,24,110,86,0.9560439560439561,11,8.365269353839409,38.27124001126698,8.000022883574472,719.4131644301891,180.21892044122342,0.25050823275379697,46.25281999022183,25.45876243729236,46.25281999022182,-24.797030256639918,-0.005348039999972188,-92.9190000000001,-154.418,-1.0804534883720942,-1.7955581395348839,92.9190000000001,154.418,1.0804534883720942,1.7955581395348839,,
pitch008,fastball,RHP,ball_path008 fastball RHP.csv,ok,87,24,110,86,0.9560439560439561,11,6.854353705948648,41.457101587062205,6.986785329381775,589.4744187115837,103.74017415157932,0.17598757615016541,47.53072513446259,25.899830225189262,47.530725134462614,-20.746920906988205,0.017747927571303893,-98.53700000000003,-32.44200000000001,-1.1457790697674424,-0.377232558139535,98.53700000000003,32.44200000000001,1.1457790697674424,0.377232558139535,,
pitch009,changeup,LHP,ball_path009 changeup LHP.csv,ok,87,24,110,86,0.9560439560439561,11,5.557381501976454,18.058670853637043,3.5952780892671354,477.934809169975,318.4179580990998,0.6662372189464362,39.50597921391417,18.32428499200939,1.1878911800643086,-39.50597921391414,0.029717328489810395,94.62200000000007,304.0340000000001,1.1002558139534893,3.535279069767443,94.62200000000007,304.0340000000001,1.1002558139534893,3.535279069767443,,
pitch010,curveball,RHP,ball_path010 curveball RHP.csv,ok,87,24,110,86,0.9560439560439561,11,7.347325198493129,40.843299866685626,7.307071606496814,631.8699670704091,251.2948491493608,0.39770025835293277,50.86413869318936,23.362945203451822,50.66687195976853,-14.119672416727783,0.0016261706514156483,-237.0,83.54700000000003,-2.755813953488372,0.9714767441860468,237.0,83.54700000000003,2.755813953488372,0.9714767441860468,,
pitch011,fastball,RHP,ball_path011 fastball RHP.csv,ok,87,24,110,86,0.9560439560439561,11,6.0480306151706795,27.373378764777925,5.522273692610455,520.1306329046785,223.19979310250264,0.4291225684133225,49.0998494383332,29.218746994183377,49.09984943833322,-24.922159728191904,0.0033179802818079046,-113.4849999999999,192.19600000000003,-1.3195930232558128,2.234837209302326,113.4849999999999,192.19600000000003,1.3195930232558128,2.234837209302326,,
pitch012,fastball,RHP,ball_path012 fastball RHP.csv,ok,87,24,110,86,0.9560439560439561,11,7.071742656057389,47.68737569839631,9.087863164016806,608.1698684209355,197.6274499784886,0.324954359366097,42.99527813026415,15.61982902703367,42.99527813026425,-32.9143671676584,0.003987753758836701,-39.24800000000005,193.69100000000003,-0.4563720930232564,2.2522209302325584,39.24800000000005,193.69100000000003,0.4563720930232564,2.2522209302325584,,
pitch013,changeup,LHP,ball_path013 changeup LHP.csv,ok,87,24,110,86,0.9560439560439561,11,7.71144853208875,35.2415967998046,6.379643972148052,663.1845737596325,348.9214011894369,0.5261301528945115,92.83501689944694,48.72503567133729,0.0,-92.83501689944686,0.003975241640621451,287.8319999999999,197.22800000000007,3.346883720930231,2.293348837209303,287.8319999999999,197.22800000000007,3.346883720930231,2.293348837209303,,
pitch014,fastball,LHP,ball_path014 fastball LHP.csv,ok,87,24,110,86,0.9560439560439561,11,8.380688938798908,31.40869331888851,6.351329026232675,720.7392487367061,398.76208552218196,0.5532681704529374,44.01907140197162,21.35472258123626,20.433984713791684,-44.01907140197162,0.0009432049108235516,379.4749999999999,122.5150000000001,4.412499999999999,1.424593023255815,379.4749999999999,122.5150000000001,4.412499999999999,1.424593023255815,,
