frame,time_sec,tracked,x,y,anchor
20,0.166666667,0,,,0
21,0.175,0,,,0
22,0.183333333,0,,,0
23,0.191666667,0,,,0
24,0.2,1,1310.769,733.846,1
25,0.208333333,1,1332.961,729.876,0
26,0.216666667,1,1337.426,728.615,0
27,0.225,1,1343.671,726.173,0
28,0.233333333,1,1355.938,722.86,0
29,0.241666667,1,1363.457,722.198,0
30,0.25,1,1372.264,723.298,0
31,0.258333333,1,1386.106,728.578,0
32,0.266666667,1,1393.846,729.231,1
33,0.275,1,1402.29,726.661,0
34,0.283333333,1,1411.126,725.101,0
35,0.291666667,1,1419.081,719.615,0
36,0.3,1,1423.561,717.395,0
37,0.308333333,1,1427.617,716.821,0
38,0.316666667,1,1431.466,718.622,0
39,0.325,1,1434.738,722.654,0
40,0.333333333,1,1446.154,726.154,1
41,0.341666667,1,1457.934,735.018,0
42,0.35,1,1471.334,736.914,0
43,0.358333333,1,1494.892,734.719,0
44,0.366666667,1,1506.043,733.738,0
45,0.375,1,1515.078,732.578,0
46,0.383333333,1,1523.698,731.825,0
47,0.391666667,1,1528.362,732.737,0
48,0.4,1,1541.538,738.462,1
49,0.408333333,1,1543.988,734.991,0
50,0.416666667,1,1548.019,735.331,0
51,0.425,1,1550.963,735.63,0
52,0.433333333,1,1551.797,735.39,0
53,0.441666667,1,1550.768,735.998,0
54,0.45,1,1550.705,736.843,0
55,0.458333333,1,1547.661,738.878,0
56,0.466666667,1,1538.462,743.077,1
57,0.475,1,1545.783,745.584,0
58,0.483333333,1,1543.574,749.924,0
59,0.491666667,1,1549.896,752.671,0
60,0.5,1,1569.639,754.795,0
61,0.508333333,1,1579.04,756.845,0
62,0.516666667,1,1587.293,758.643,0
63,0.525,1,1594.259,760.998,0
64,0.533333333,1,1604.615,766.154,1
65,0.541666667,1,1597.567,768.181,0
66,0.55,1,1597.942,770.079,0
67,0.558333333,1,1598.313,771.427,0
68,0.566666667,1,1597.773,771.879,0
69,0.575,1,1598.556,771.67,0
70,0.583333333,1,1600.578,771.487,0
71,0.591666667,1,1605.653,771.319,0
72,0.6,1,1607.692,769.231,1
73,0.608333333,1,1622.781,772.151,0
74,0.616666667,1,1634.248,774.018,0
75,0.625,1,1641.568,777.172,0
76,0.633333333,1,1645.69,782.886,0
77,0.641666667,1,1652.223,787.338,0
78,0.65,1,1658.49,792.163,0
79,0.658333333,1,1661.683,795.222,0
80,0.666666667,1,1667.692,803.077,1
81,0.675,1,1667.666,796.076,0
82,0.683333333,1,1670.138,796.335,0
83,0.691666667,1,1674.595,796.431,0
84,0.7,1,1677.992,797.999,0
85,0.708333333,1,1683.222,803.496,0
86,0.716666667,1,1686.057,806.106,0
87,0.725,1,1687.511,808.17,0
88,0.733333333,1,1690.769,810.769,1
89,0.741666667,1,1692.797,810.969,0
90,0.75,1,1695.892,812.924,0
91,0.758333333,1,1702.597,816.328,0
92,0.766666667,1,1705.203,819.375,0
93,0.775,1,1705.86,823.839,0
94,0.783333333,1,1706.822,826.363,0
95,0.791666667,1,1706.154,830.769,1
96,0.8,1,1704.918,829.554,0
97,0.808333333,1,1703.769,830.826,0
98,0.816666667,1,1703.163,832.782,0
99,0.825,1,1701.209,836.686,0
100,0.833333333,1,1701.708,838.62,0
101,0.841666667,1,1704.958,839.66,0
102,0.85,1,1706.817,841.116,0
103,0.858333333,1,1709.259,842.085,0
104,0.866666667,1,1711.927,843.11,0
105,0.875,1,1715.385,847.692,1
106,0.883333333,1,1716.952,848.001,0
107,0.891666667,1,1718.629,849.014,0
108,0.9,1,1719.245,851.217,0
109,0.908333333,1,1718.562,855.177,0
110,0.916666667,1,1720,860,1
111,0.925,1,1716.186,858.461,0
112,0.933333333,1,1714.861,859.981,0
113,0.941666667,1,1715.144,860.591,0
114,0.95,1,1714.558,861.139,0
115,0.958333333,1,1712.308,864.615,1
