frame,time_sec,tracked,x,y,anchor
20,0.16666666666666666,0,,,0
21,0.175,0,,,0
22,0.18333333333333332,0,,,0
23,0.19166666666666668,0,,,0
24,0.2,1,1753.846,950.769,1
25,0.20833333333333334,1,1720.022,932.863,0
26,0.21666666666666667,1,1716.714,931.132,0
27,0.225,1,1715.269,930.412,0
28,0.23333333333333334,1,1711.975,928.690,0
29,0.24166666666666667,1,1713.228,925.961,0
30,0.25,1,1712.251,920.801,0
31,0.25833333333333336,1,1713.244,918.324,0
32,0.26666666666666666,1,1727.692,893.846,1
33,0.275,1,1711.622,909.563,0
34,0.2833333333333333,1,1716.136,923.041,0
35,0.2916666666666667,1,1717.926,928.359,0
36,0.3,1,1718.000,933.574,0
37,0.30833333333333335,1,1721.125,935.444,0
38,0.31666666666666665,1,1719.276,927.628,0
39,0.325,1,1717.051,916.503,0
40,0.3333333333333333,1,1733.846,898.462,1
41,0.3416666666666667,1,1707.841,891.633,0
42,0.35,1,1706.206,893.545,0
43,0.35833333333333334,1,1707.498,908.945,0
44,0.36666666666666664,1,1704.554,913.975,0
45,0.375,1,1704.785,913.520,0
46,0.38333333333333336,1,1697.827,905.768,0
47,0.39166666666666666,1,1700.275,892.598,0
48,0.4,1,1716.923,866.154,1
49,0.4083333333333333,1,1710.752,868.866,0
50,0.4166666666666667,1,1728.006,851.450,0
51,0.425,1,1733.676,843.027,0
52,0.43333333333333335,1,1729.520,839.676,0
53,0.44166666666666665,1,1730.023,836.374,0
54,0.45,1,1726.884,837.011,0
55,0.4583333333333333,1,1719.971,840.585,0
56,0.4666666666666667,1,1718.462,849.231,1
57,0.475,1,1710.101,846.238,0
58,0.48333333333333334,1,1699.214,851.898,0
59,0.49166666666666664,1,1699.851,850.469,0
60,0.5,1,1712.768,840.226,0
61,0.5083333333333333,1,1716.754,837.134,0
62,0.5166666666666667,1,1723.492,832.694,0
63,0.525,1,1728.767,829.393,0
64,0.5333333333333333,1,1718.462,836.923,1
65,0.5416666666666666,1,1732.291,827.211,0
66,0.55,1,1732.865,826.193,0
67,0.5583333333333333,1,1730.746,825.849,0
68,0.5666666666666667,1,1730.634,825.027,0
69,0.575,1,1728.874,825.109,0
70,0.5833333333333334,1,1723.734,827.949,0
71,0.5916666666666667,1,1717.959,831.587,0
72,0.6,1,1721.538,824.615,1
73,0.6083333333333333,1,1702.469,838.814,0
74,0.6166666666666667,1,1702.275,836.372,0
75,0.625,1,1712.187,824.109,0
76,0.6333333333333333,1,1716.249,818.937,0
77,0.6416666666666667,1,1720.766,814.193,0
78,0.65,1,1720.437,814.004,0
79,0.6583333333333333,1,1714.835,819.196,0
80,0.6666666666666666,1,1718.462,816.923,1
81,0.675,1,1699.490,832.089,0
82,0.6833333333333333,1,1699.071,831.422,0
83,0.6916666666666667,1,1708.220,821.045,0
84,0.7,1,1711.916,816.579,0
85,0.7083333333333334,1,1716.278,811.813,0
86,0.7166666666666667,1,1716.296,811.866,0
87,0.725,1,1712.968,817.400,0
88,0.7333333333333333,1,1715.385,810.769,1
89,0.7416666666666667,1,1700.736,831.564,0
90,0.75,1,1702.914,832.322,0
91,0.7583333333333333,1,1707.135,821.651,0
92,0.7666666666666667,1,1708.322,817.206,0
93,0.775,1,1711.479,812.052,0
94,0.7833333333333333,1,1711.731,807.460,0
95,0.7916666666666666,1,1706.154,804.615,1
96,0.8,1,1709.062,806.627,0
97,0.8083333333333333,1,1706.430,805.891,0
98,0.8166666666666667,1,1705.028,805.753,0
99,0.825,1,1704.960,806.354,0
100,0.8333333333333334,1,1704.358,806.416,0
101,0.8416666666666667,1,1704.447,806.648,0
102,0.85,1,1703.852,806.648,0
103,0.8583333333333333,1,1702.159,806.241,0
104,0.8666666666666667,1,1699.013,805.487,0
105,0.875,1,1695.385,804.615,1
106,0.8833333333333333,1,1685.509,802.482,0
107,0.8916666666666667,1,1677.632,800.672,0
108,0.9,1,1671.292,799.589,0
109,0.9083333333333333,1,1664.475,797.376,0
110,0.9166666666666666,1,1660.927,796.351,0
